Site,Nome do Produto,Preço Bruto,Data do Scraping,Preço Numérico
AliExpress,"Chuwi minibook x laptop tablet 2 em 1 intel n150 cpu 10.51 ""fhd ips tela 12gb lpddr5 512g ssd windows 11 notebook 1200*1920","R$1.849,71",20250623_211442,1849.71
AliExpress,"Notebook Multi Ultra UB251 4GB RAM 128GB eMMC 14"" HD Windows 11 UB251 + Mouse Sem Fio","R$1.478,5",20250623_211442,1478.5
AliExpress,Novo portátil n5095 15.6 Polegada tela ips 16gb ram intel celeron 11th n5095a netbook windows 10 11 pro escritório notebook pc portátil,"R$1.304,66",20250623_211442,1304.66
AliExpress,Firebat a16 portátil 15.6 16 Polegada cpu intel n5095 16gb ram ssd 512gb 1tb bt4.2 wifi5 lpddr4 computador de negócios leve notebook,"R$1.686,4",20250623_211442,1686.4
AliExpress,"Adreamer laptop de 13,3 polegadas Intel Celeron N4020 8GB RAM 1T SSD Windows 10 computador escritório escola notebook PC","R$911,78",20250623_211442,911.78
AliExpress,"Notebook Positivo Vision R15 R58256 A-15 AMD Ryzen 5 8GB RAM SSD 256GB 15,6"" Full HD Windows 11 3002880",R$2.809,20250623_211442,2.809
AliExpress,NOTEBOOK HP 240 G6 CORE I5 7200U SSD 256 GB 8 GB RAM - WIN10 PRO,"R$1.899,9",20250623_211442,1899.9
AliExpress,20 pçs/set 18mm 24mm multicolorido cogumelo buraco disco-encadernação livro solto anel de ligação disco arco encadernação notebook arco material de escritório,"R$14,46",20250623_211442,14.46
AliExpress,"Notebook Intel Notebook, 15.6 Polegada, Windows 11, 10 Pro, 1920x1080, 12GB de RAM, 128 GB, 256GB, 512GB, 1TB, 2TB SSD, Porta HDMI, Portátil Barato","R$1.107,99",20250623_211442,1107.99
AliExpress,"Laptop rosa com o Windows 10, Notebook Gaming, Intel Celeron J4125, 12 GB de RAM, 1T, Dual WiFi, Lado Estreito, 15,6 em, 10th Gen, Escritório, Educação","R$1.450,15",20250623_211442,1450.15
AliExpress,"Portátil Gaming Office Laptop, Notebook PC, 16GB de RAM, Intel 11th, N5095, Netbook Negócios, Windows 10, 11 Pro, 15,6 ""Tela IPS","R$1.543,05",20250623_211442,1543.05
AliExpress,Memória DDR4 RAM Laptop 16GB 8GB 32GB 1.2V 260pin 3200MHz 2666MHz 2400MHz PC4 Notebook Memória Sodimm,"R$59,81",20250623_211442,59.81
AliExpress,"GT77-UHD 120Hz Core i7-12800HX i9 12900HX RTX 3070 Ti, 32GB DDR5 1TB NVMe SSD, Thunderbolt 4, melhor preço",R$2.000,20250623_211442,2.0
AliExpress,"Bolso Metal Touch Screen Quad Core Laptop, 7 ""Mini Smart Book, negócio, escritório, jogos, estudante, classe on-line, PDA, J4105","R$2.206,99",20250623_211442,2206.99
AliExpress,Asus rog strix scar 18 jogos computador portátil intel core i9 13980hx 64g ram 2t ssd rtx4090 16gb 2.5k tela 165hz 18 Polegada computador,"R$40.990,52",20250623_211442,40990.52
AliExpress,"Bolsa portátil para laptop 14 15 15.6 tamanhos, para macbook pro, huawei, xiaomi, mac book m1, capa para laptop, acessórios para notebook, capa para laptop","R$45,55",20250623_211442,45.55
AliExpress,"HUAWEI-Notebook MateBook X Touch Screen, 13 "", 3k, LTPS, Netbook, 13"", i5-1130G7, i7-1160G7, 16GB, 512GB, 1 TB, 2022","R$6.376,67",20250623_211442,6376.67
AliExpress,Huawei matebook 14s 14.2 Polegada portátil i5-12500H/i7-12700H 16gb 512gb/1tb ssd netbook 90hz tela de toque iris xe notebook pc,"R$5.002,99",20250623_211442,5002.99
AliExpress,"HUAWEI 20245 MateBook 14 Windows/Linux Ultra 7 155H/Ultra 5 125H 16GB/32GB 512GB/1TB 14,2 polegadas 120Hz 2.8k Intel Arc Gráficos SSD","R$6.262,79",20250623_211442,6262.79
AliExpress,16 pçs anti-poeira plug notebook rolha à prova de poeira laptops universal usb poeira plug acessórios interface do computador capa à prova dwaterproof água,"R$2,79",20250623_211442,2.79
AliExpress,"ASUS-Zenbook Pro, 15.6, OLED 4K, SSD 1TB, 32GB RAM, ASUS, UX581L","R$2.097,31",20250623_211442,2097.31
AliExpress,"AcerSS-Laptop para jogos Predator Helios 300, Core I-7, 16 GB Ddr-4 RAM, 512 GB, SSD Nvme, Win 11",R$4.800,20250623_211442,4.8
AliExpress,"Alienwares-Area 51M Core i9-10900K Gaming Laptop, HDD 1TB, SSD 512GB, 17,3""",R$4.000,20250623_211442,4.0
AliExpress,RGB Mouse Pad Bleach Non-Slip Rubber Edge Locking Mousepads Game Cool Play Mat Notebook Computer Keyboard Led Backlight Deskmat,"R$50,39",20250623_211442,50.39
AliExpress,Para latitude 3410 3510 e3510 e3410 cabo flexível de carregamento para laptop 07dm5h 0n8r4t cabo de alimentação dc,"R$4,7",20250623_211442,4.7
AliExpress,Mx4 4g 8g 20g cpu pasta térmica processador graxa térmica para cpu gpu impressora dissipador de calor refrigeração composto silicone,"R$23,18",20250623_211442,23.18
AliExpress,Protetor de tela para macbook hd filme macio para ar 13 Polegada m1 m2 pro 11 13 14 15 16 Polegada filme macio transparente para laptop,"R$9,73",20250623_211442,9.73
AliExpress,M203 2.4G Modelo Duplo Sem Fio BT 5.0 Recarregável Mouse Silencioso Long Standby Multi Botão Mouse Para Computador PC Notebook,"R$63,67",20250623_211442,63.67
AliExpress,Novo botão de silicone reparação 2mm alça controle remoto remendo reparação toque fita condutora console jogo,"R$9,48",20250623_211442,9.48
AliExpress,Protetor de tela HD para MacBook Pro 14 M1 M2 Pro Max Air 13 15 16 Filme macio transparente para laptop,"R$9,99",20250623_211442,9.99
AliExpress,"HD protetor de tela macia para MacBook, Clear Laptop Film, Air 13 em, M1, M2 Pro, 11 em, 13 em, 14 em, 15 em, 16 em","R$10,66",20250623_211442,10.66
AliExpress,Popular dos desenhos animados gacha life 3d impresso estudante sacos de escola jovem notebook mochilas oxford à prova dwaterproof água meninos/meninas sacos viagem,"R$87,29",20250623_211442,87.29
AliExpress,Filme de privacidade anti-espião para computador portátil 14 15.6 ''(16:9) protetor de tela notebook pc filtro anti-peep fosco filme anti-reflexo,"R$26,39",20250623_211442,26.39
AliExpress,"Jcd 1 conjunto de pés de borracha com parafusos, chave de fenda para macbook pro 13 ""15"" 17 ""a1278 a1286 a1297 2008 2009 2010 2011 2012","R$11,53",20250623_211442,11.53
AliExpress,1pc tira de borracha portátil inferior escudo capa pé almofada para hp envy x360 15-dr antiderrapante pára-choques pés tira acessórios para portátil,"R$6,89",20250623_211442,6.89
AliExpress,Verde sn3000 500gb 1tb 2tb nvme m.2 ssd pcie 4.0 2280 5000 mb/s ssd para pc notebook ps5 computador portátil mini,"R$294,99",20250623_211442,294.99
AliExpress,DXLNew para Acer Shadow Knight 5AN515-58 cabo de disco rígido 50.QFJN2.002 NBX0002Q900,"R$62,09",20250623_211442,62.09
AliExpress,PARA cavo LED DELL Latitude 7310 0 J23T3 J23T3,"R$112,99",20250623_211442,112.99
AliExpress,Placa controladora lcd compatível com ht190wg1 lm190wx1 ltm190m2 m190pw01 1440*900 30pin lvds 4ccfl dvb digital ir + av + usb + hdmi + vga kit matriz,"R$136,99",20250623_211442,136.99
AliExpress,A7 50 folhas folhas soltas caderno recarga espiral pasta página interna semanal mensal para fazer linha grade dentro de papel papelaria,"R$10,38",20250623_211442,10.38
AliExpress,KK. Ventilador de resfriamento de CPU gráfico integrado para HP Pavilion 15-EH 15-EG 15-eg0021nr 15-EG0073CL 15-EG0053CL TPN-Q245 TPN-Q246 Series,"R$87,29",20250623_211442,87.29
AliExpress,Segunda Guerra Mundial. Novo cabo LCD para laptop para Acer E5-523 E5-523G E5-553 F5-573 E5-575 DD0ZAALC001 DD0ZAALC002 DD0ZAALC011 012 DD0ZAALC022,"R$70,29",20250623_211442,70.29
AliExpress,Para lenovo thinkpad e570 20h5 20h6 e570c e575 série dc power jack porta de carregamento conector novo,"R$12,91",20250623_211442,12.91
AliExpress,NoEnName_Null 50n06 t5577 rsiusenчроч ukuvani triac earu gp4063d 10n60 notebook China continental Novo Nenhum através do furo sim,"R$47,19",20250623_211442,47.19
AliExpress,"para alto-falantes ASUS X455Y, K455LJ, A455L, R455L, X454LD, W419L, Y483L, F455W","R$149,59",20250623_211442,149.59
AliExpress,Placa controladora edp 2k para DV180FHM-N10 dw1560b2z0 EV156FHM-N10-5850 1920x1080 micro usb mini 2 painel lcd led compatível com hdmi,"R$106,09",20250623_211442,106.09
AliExpress,"Placa controladora 58c compatível com hdmi vga para b140ew01 v0/v1/v3/v5 1280x768 tela do painel lcd 14 ""diy","R$86,39",20250623_211442,86.39
AliExpress,"Livro de exercícios de caligrafia específico para escola primária, praticando a caligrafia","R$62,99",20250623_211442,62.99
AliExpress,Memória ram ddr3 4gb 8gb 16gb 1066 1333 1600 mhz sodimm 1.5v pc3 8500 10600 12800 notebook memória portátil ddr3 ram 8 gb 1600 mhz,"R$26,55",20250623_211442,26.55
AliExpress,KK. Cabo HDD para disco rígido de laptop para Lenovo para ThinkBook 15-IML 15-IIL 5C10S30015 81VN Novo,"R$46,99",20250623_211442,46.99
AliExpress,Fivela de borda de um par original para htc vive fone de ouvido vr acessórios de substituição,"R$193,59",20250623_211442,193.59
AliExpress,Moda popular lee ji eun iu notebook mochilas aluno sacos de escola impressão 3d oxford à prova dwaterproof água meninos/meninas mochilas portátil,"R$83,59",20250623_211442,83.59
AliExpress,Para nova dobradiça do eixo HP HP 15-DA TPN-C135 250 255 G7 L20420-001,"R$32,29",20250623_211442,32.29
AliExpress,"Placa de conector do teclado usado original, painel de controle do Touchpad para Macbook Air 13 "", A2179, A1932, Trackpad, 820-02005-01","R$173,59",20250623_211442,173.59
AliExpress,"Para NV161FHM-N41 NV161FHM-N61 NV161FHM-N62 placa controladora edp tipo-c led lcd mini hdmi-compatível usb 16.1 ""monitor 1920x1080","R$113,99",20250623_211442,113.99
AliExpress,10/25/50 pçs lindas meninas boneca adesivos para diy à prova dwaterproof água crianças brinquedo viagem bagagem notebook portátil telefone papelaria mala,"R$15,71",20250623_211442,15.71
AliExpress,Original para nvidia quadro k2200 4gb 640sp gddr5 displayport dvi placa gráfica profissional 100% testado navio rápido,"R$618,99",20250623_211442,618.99
AliExpress,15.6 Polegada relação de exibição 16:9 protetor de tela do notebook filme macio para dell/asus/samsung/lenovo/oshiba portátil tablet,"R$12,12",20250623_211442,12.12
AliExpress,PARA HP ProBook 450 G7 TM-P3564 Touchpad prateado com cabo,"R$152,59",20250623_211442,152.59
AliExpress,Fromthenon 4 buracos cogumelo buracos perfurador a4 a5 a6 a7 folhas soltas caderno planejador diário ferramenta de perfuração material de papelaria de escritório,"R$68,28",20250623_211442,68.28
