Site,Nome do Produto,Preço Bruto,Data do Scraping,Preço Numérico
AliExpress,"Chuwi minibook x laptop tablet 2 em 1 intel n150 cpu 10.51 ""fhd ips tela 12gb lpddr5 512g ssd windows 11 notebook 1200*1920","R$1.849,71",20250623_195226,1849.71
AliExpress,"Notebook Multi Ultra UB251 4GB RAM 128GB eMMC 14"" HD Windows 11 UB251 + Mouse Sem Fio","R$1.478,5",20250623_195226,1478.5
AliExpress,Novo portátil n5095 15.6 Polegada tela ips 16gb ram intel celeron 11th n5095a netbook windows 10 11 pro escritório notebook pc portátil,"R$1.304,66",20250623_195226,1304.66
AliExpress,Firebat a16 portátil 15.6 16 Polegada cpu intel n5095 16gb ram ssd 512gb 1tb bt4.2 wifi5 lpddr4 computador de negócios leve notebook,"R$1.686,4",20250623_195226,1686.4
AliExpress,"Adreamer laptop de 13,3 polegadas Intel Celeron N4020 8GB RAM 1T SSD Windows 10 computador escritório escola notebook PC","R$911,78",20250623_195226,911.78
AliExpress,"Notebook Positivo Vision R15 R58256 A-15 AMD Ryzen 5 8GB RAM SSD 256GB 15,6"" Full HD Windows 11 3002880",R$2.809,20250623_195226,2.809
AliExpress,"Notebook Intel Notebook, 15.6 Polegada, Windows 11, 10 Pro, 1920x1080, 12GB de RAM, 128 GB, 256GB, 512GB, 1TB, 2TB SSD, Porta HDMI, Portátil Barato","R$1.107,99",20250623_195226,1107.99
AliExpress,"Conjunto de caderno espiral de 4 pacotes, bloco de notas de bolso com laço de caneta, notas pegajosas e abas de índice, capa de papel marrom de 4,1x5,3 "", diário forrado portátil","R$17,48",20250623_195226,17.48
AliExpress,"Firebat Lightweight Business Computer Notebook, A16 Laptop, 16 Polegada CPU, N5095, N100, 16GB de RAM, SSD, 512GB, 1TB, BT4.2, WiFi5, LPDDR4","R$1.996,94",20250623_195226,1996.94
AliExpress,"Laptop rosa com o Windows 10, Notebook Gaming, Intel Celeron J4125, 12 GB de RAM, 1T, Dual WiFi, Lado Estreito, 15,6 em, 10th Gen, Escritório, Educação","R$1.450,15",20250623_195226,1450.15
